"outcome","gene","beta_step1","p_step1","beta_step2","p_step2","beta_total","mediation_effect","prop_mediated","sig_mediation","abs_prop"
"COPD","PDAP1",1.83833484501673,0.000112554807939884,0.228311333614267,0.229420190564723,0.658823081178385,0.419712680095347,0.637064322859849,FALSE,0.637064322859849
"COPD","PTPRF",-1.49183466217097,1.59098825121899e-06,-0.253119116151442,0.161574751981953,0.658823081178385,0.377611871132801,0.573161265779269,FALSE,0.573161265779269
"LungCancer","CACNA2D2",-2.13003048068789,4.42331272557971e-05,-0.123276514917828,0.54037946548762,0.460974451161024,0.262582734327949,0.569625352699265,FALSE,0.569625352699265
"CAD","IFRD2",1.76333204006815,0.000287401175112079,-0.0807791658040135,0.430644866072418,0.251845615703304,-0.142440491232195,-0.565586543305173,FALSE,0.565586543305173
"LungCancer","TTC28-AS1",2.44446115320094,0.000732062346136933,0.106392731890073,0.276503187748799,0.460974451161024,0.260072900088206,0.564180725055758,FALSE,0.564180725055758
"CAD","LA16c-313D11.12",-4.58453689531618,5.22670501573411e-06,0.0308611303075568,0.733817133967784,0.251845615703304,-0.141483990526154,-0.561788578812644,FALSE,0.561788578812644
"LungCancer","RHBDL1",-2.77601313381429,1.06424769831401e-05,-0.0926609621818991,0.734389642442281,0.460974451161024,0.257228048008821,0.558009337309169,FALSE,0.558009337309169
"LungCancer","KCNAB3",5.75806521510052,1.84400289938487e-07,0.043186094522039,0.67669667439801,0.460974451161024,0.248668348643396,0.539440630640359,FALSE,0.539440630640359
"COPD","IKZF4",1.96937400619167,0.000358051341086927,-0.170585316130967,0.373559624886033,0.658823081178385,-0.335946287426315,-0.5099188189118,FALSE,0.5099188189118
"LungCancer","NARFL",-8.99927599181729,1.05125249524672e-08,0.0259680079786608,0.621337702704018,0.460974451161024,-0.233693270757682,-0.506954930298404,FALSE,0.506954930298404
"COPD","IFRD2",1.76333204006815,0.000287401175112079,-0.188045611917721,0.153674039702886,0.658823081178385,-0.331586852488739,-0.503301814951073,FALSE,0.503301814951073
"COPD","RHBDL1",-2.77601313381429,1.06424769831401e-05,-0.116703856438438,0.496795934684,0.658823081178385,0.323971438239882,0.491742696173334,FALSE,0.491742696173334
"CAD","IKZF4",1.96937400619167,0.000358051341086927,0.0572689304113758,0.63767950358752,0.251845615703304,0.112783942914563,0.447829685657233,FALSE,0.447829685657233
"COPD","WIBG",2.05516850687633,0.000537671282651753,-0.138596541838244,0.287750147469224,0.658823081178385,-0.284839247947928,-0.432345581211967,FALSE,0.432345581211967
"LungCancer","MYL6B",4.88534131003794,5.72178544132317e-06,0.0396522674763464,0.740982401927615,0.460974451161024,0.193714860338869,0.42022906009427,FALSE,0.42022906009427
"LungCancer","EED",2.60009212443315,1.47654020601011e-05,-0.0739105550504379,0.875625864246517,0.460974451161024,-0.192174252099127,-0.416886991491851,FALSE,0.416886991491851
"LungCancer","PIGQ",-3.05192175626047,4.52520079092408e-06,0.0625904215150584,0.396026470060875,0.460974451161024,-0.19102106915532,-0.41438537141095,FALSE,0.41438537141095
"LungCancer","IFRD2",1.76333204006815,0.000287401175112079,-0.106200519115671,0.595836205519149,0.460974451161024,-0.187266778028533,-0.406241121513085,FALSE,0.406241121513085
"COPD","RP11-320L11.2",3.98927907181119,0.000602315240110718,0.0670787257413086,0.276478761327518,0.658823081178385,0.267595756763565,0.406172407142958,FALSE,0.406172407142958
"LungCancer","LA16c-313D11.12",-4.58453689531618,5.22670501573411e-06,-0.035311355796457,0.836678467867949,0.460974451161024,0.161886213472494,0.351182615576118,FALSE,0.351182615576118
"COPD","TTC28-AS1",2.44446115320094,0.000732062346136933,0.0943151403028088,0.0545900921602309,0.658823081178385,0.230549696628912,0.349941741896088,FALSE,0.349941741896088
"LungCancer","HNF1A",-2.75943250059582,9.40449761210985e-06,-0.0552430671382038,0.769710083424641,0.460974451161024,0.152439514893757,0.330689725883545,FALSE,0.330689725883545
"COPD","JMJD8",-3.84495130859791,5.74226550581989e-06,0.0537573359801062,0.428450552442228,0.658823081178385,-0.206694339323447,-0.313732692779599,FALSE,0.313732692779599
"COPD","LIN7C",-1.61541633348606,4.07248157305519e-05,0.127707295140678,0.136357671957341,0.658823081178385,-0.206300450475575,-0.313134825371603,FALSE,0.313134825371603
"LungCancer","WIBG",2.05516850687633,0.000537671282651753,0.0699604543967939,0.735088400804607,0.460974451161024,0.143780522603048,0.31190562132222,FALSE,0.31190562132222
"CAD","GDF11",2.38383075922444,7.74128980505247e-05,-0.0323284171036679,0.841623175846681,0.251845615703304,-0.0770654750887612,-0.306002845725736,FALSE,0.306002845725736
"COPD","TPM3",1.70640471079559,0.000287797268770008,0.117914575320698,0.11280606779861,0.658823081178385,0.201209986798701,0.305408223462379,FALSE,0.305408223462379
"COPD","PSMD11",-2.2506591025219,5.32932537313895e-05,-0.0872287359567604,0.705106763596901,0.658823081178385,0.196322148582562,0.297989178265304,FALSE,0.297989178265304
"LungCancer","HDGFRP2",2.2819981259808,0.000311524940508818,-0.0573698635540863,0.781404615172719,0.460974451161024,-0.130917921118199,-0.284002553261824,FALSE,0.284002553261824
"CAD","C16orf95",4.03634840124838,0.000270817644581264,0.0176773308257611,0.595486759530447,0.251845615703304,0.0713518660168995,0.283315895008306,FALSE,0.283315895008306
"LungCancer","MEF2C",1.43398329411699,3.02890088390557e-05,0.0865666569152859,0.208654399535685,0.460974451161024,0.124135139844077,0.269288546320574,FALSE,0.269288546320574
"LungCancer","C16orf95",4.03634840124838,0.000270817644581264,0.0299424897892767,0.642701939457638,0.460974451161024,0.120858320790343,0.262180085004593,FALSE,0.262180085004593
"COPD","C16orf95",4.03634840124838,0.000270817644581264,-0.0380411042336889,0.339315234919782,0.658823081178385,-0.153547150255373,-0.233062797345739,FALSE,0.233062797345739
"CAD","CADM2",1.64275331095328,7.35042850295152e-07,-0.0293572099781621,0.864373484585854,0.251845615703304,-0.0482266538919765,-0.191492926161524,FALSE,0.191492926161524
"CAD","RHBDL1",-2.77601313381429,1.06424769831401e-05,0.0172748847960619,0.905356882824063,0.251845615703304,-0.0479553070789966,-0.190415493019708,FALSE,0.190415493019708
"LungCancer","FAM195A",1.8639489406268,0.000402592341290178,0.0468353708313326,0.873700161536648,0.460974451161024,0.0872987398449257,0.189378694686989,FALSE,0.189378694686989
"COPD","LRRC69",4.42216680486196,4.91631017699845e-06,0.0211140370894457,0.653425664635088,0.658823081178385,0.093369793933571,0.141722105070405,FALSE,0.141722105070405
"CAD","GUCY2D",2.57254644207994,2.50733570295504e-05,0.0130673788360981,0.922959438265985,0.251845615703304,0.0336164389321148,0.133480342066855,FALSE,0.133480342066855
"LungCancer","ALOX15B",3.30411810080784,3.7164568932061e-06,-0.0176328367897954,0.892619401261716,0.460974451161024,-0.0582609752057533,-0.126386560164051,FALSE,0.126386560164051
"LungCancer","TPM3",1.70640471079559,0.000287797268770008,0.0339253120036481,0.772371830662303,0.460974451161024,0.0578903122182355,0.125582474413563,FALSE,0.125582474413563
"LungCancer","CHTOP",-1.72083714617867,0.000273175110369585,-0.032886791465309,0.892646670531864,0.460974451161024,0.0565928123721355,0.122767785133426,FALSE,0.122767785133426
"COPD","CACNA2D2",-2.13003048068789,4.42331272557971e-05,-0.0343265684563743,0.825343684929149,0.658823081178385,0.0731166371094968,0.110980685404523,FALSE,0.110980685404523
"CAD","ERBB3",6.11095559745649,2.53645668141369e-07,0.00305189005188633,0.957653616411004,0.251845615703304,0.0186499645953966,0.0740531636547044,FALSE,0.0740531636547044
"COPD","HNF1A",-2.75943250059582,9.40449761210985e-06,0.0175778565397545,0.892681804283866,0.658823081178385,-0.0485049086266094,-0.0736235721126414,FALSE,0.0736235721126414
"CAD","GS1-259H13.2",4.57144781410011,8.51985852602888e-05,-0.00379764226054278,0.943798139551153,0.251845615703304,-0.0173607234106925,-0.0689339910175166,FALSE,0.0689339910175166
"CAD","TTC28-AS1",2.44446115320094,0.000732062346136933,0.00698482418369873,0.871738442399296,0.251845615703304,0.01707413137899,0.0677960238907029,FALSE,0.0677960238907029
"CAD","LIN7C",-1.61541633348606,4.07248157305519e-05,-0.00757175797224609,0.914228859792529,0.251845615703304,0.0122315415015696,0.0485676173770657,FALSE,0.0485676173770657
"COPD","NAT6",5.08581595619988,2.01704729451588e-08,0.00228543295975768,0.975263382634952,0.658823081178385,0.0116232914135608,0.0176425078987383,FALSE,0.0176425078987383
"LungCancer","NDUFAF2",3.75553572442237,6.68491398112798e-07,0.00129296697912229,0.992221214874049,0.460974451161024,0.00485578368059224,0.0105337371048706,FALSE,0.0105337371048706
