"exposure","outcome","exposure_label","outcome_label","n_snps","method","b","se","pval","or","or_lci","or_uci","fstat","steiger","het_q","het_p","egger_intercept","egger_p","presso_global_p","presso_outlier","note"
"NO2_air_pollution","CAD","NO2空气污染","冠心病",8,"Weighted mode",-0.248524092427737,0.679438284458481,0.725333870592433,0.779951069693986,0.205929144115208,2.95404360432084,37.8,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","LungCancer","NO2空气污染","肺癌",7,"IVW",0.515208399158106,0.579330763061949,0.373833013159127,1.67398732299804,0.537793889929753,5.2106087667232,33.9,"correct",3.87911907037564,0.566947965911243,-0.0051242383902101,0.90992713475013,"0.672",FALSE,"OK"
"NO2_air_pollution","LungCancer","NO2空气污染","肺癌",7,"MR Egger",0.814173752163914,2.57875066162469,0.76496513949095,2.25730980427996,0.0144050340797518,353.726865503274,33.9,"correct",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","LungCancer","NO2空气污染","肺癌",7,"Weighted median",0.573351297880034,0.746930265269263,0.442718794701451,1.77420298203473,0.41039629126391,7.67013807987044,33.9,"correct",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","LungCancer","NO2空气污染","肺癌",7,"Weighted mode",0.582452257100849,1.18622776368442,0.640858849661501,1.79042363079569,0.175072665516485,18.3102071831412,33.9,"correct",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","IschStroke","NO2空气污染","缺血性脑卒中",8,"IVW",0.742101973376695,0.298644376860008,0.0129587147072586,2.10034574861865,1.16971367276936,3.77139497163958,37.8,"reversed",7.58610160578004,0.270020939102799,0.0115570816611463,0.706198896082653,"0.432",FALSE,"OK"
"NO2_air_pollution","IschStroke","NO2空气污染","缺血性脑卒中",8,"MR Egger",0.0809625435532316,1.7019896246232,0.963603313400933,1.08433028064666,0.0385832466743247,30.4736448814634,37.8,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","IschStroke","NO2空气污染","缺血性脑卒中",8,"Weighted median",0.887130663160944,0.384543483470863,0.0210564370600681,2.42815245881824,1.14273605548203,5.15948047231081,37.8,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","IschStroke","NO2空气污染","缺血性脑卒中",8,"Weighted mode",0.94312099255999,0.434031883550508,0.0663294489064395,2.56798358214096,1.0968237476607,6.01239687981803,37.8,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","HeartFailure","NO2空气污染","心力衰竭",8,"IVW",-0.0904170305255555,0.286569414124849,0.752370447133099,0.913550127530591,0.520954234774796,1.60200988839631,37.8,"reversed",9.81914539086157,0.132477727666865,-0.0154823549794478,0.508512344883887,"0.159",FALSE,"OK"
"NO2_air_pollution","HeartFailure","NO2空气污染","心力衰竭",8,"MR Egger",0.77982302714423,1.27347737830464,0.562773935852163,2.18108623828077,0.179749217738351,26.465412415549,37.8,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","HeartFailure","NO2空气污染","心力衰竭",8,"Weighted median",-0.0817450290523683,0.315748864254854,0.795718145472579,0.921506886229259,0.496281088053199,1.71107656892402,37.8,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","HeartFailure","NO2空气污染","心力衰竭",8,"Weighted mode",-0.107660853168741,0.486914280508665,0.831319238798493,0.897932075614072,0.345759150557873,2.33191807394159,37.8,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","COPD","NO2空气污染","慢阻肺",8,"IVW",0.445504563374953,0.370588496232736,0.229303742074269,1.56127776070394,0.755142437005658,3.22798471733944,37.8,"reversed",2.2485128760129,0.89548334890423,0.0216397689465216,0.484051318409023,"0.896",FALSE,"OK"
"NO2_air_pollution","COPD","NO2空气污染","慢阻肺",8,"MR Egger",-0.80096488889159,1.71222416662101,0.656441660045711,0.448895620688826,0.015655636681993,12.8712285783547,37.8,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","COPD","NO2空气污染","慢阻肺",8,"Weighted median",0.634341958792254,0.475414452566299,0.182108000589816,1.88578081159762,0.742694590244292,4.7881986971523,37.8,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","COPD","NO2空气污染","慢阻肺",8,"Weighted mode",0.928331751292444,0.633860975304162,0.186454261894166,2.53028451083525,0.730492905044198,8.76441052550043,37.8,"reversed",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","T2D","NO2空气污染","2型糖尿病",6,"IVW",-0.255675829129694,0.435706672497915,0.557333175037775,0.774392963748441,0.329670731086757,1.81904065406789,33.8,"correct",8.02512695332246,0.0906620863856487,-0.0765782927276539,0.171021708991999,"0.047",TRUE,"OK"
"NO2_air_pollution","T2D","NO2空气污染","2型糖尿病",6,"MR Egger",4.46977429942144,2.86081687577349,0.193223978716978,87.3370087753568,0.320643047194624,23788.9240654479,33.8,"correct",NA,NA,NA,NA,NA,NA,"OK"
"NO2_air_pollution","T2D","NO2空气污染","2型糖尿病",6,"Weighted median",0.068740571228657,0.374259533330433,0.85427166847562,1.07115828382151,0.514372219014293,2.23064159879823,33.8,"correct",NA,NA,NA,NA,NA,NA,"OK"
